FAN_WORK_FILENAME,FAN_WORK_WORD_INDEX,FAN_WORK_WORD,FAN_WORK_ORTH_ID,ORIGINAL_SCRIPT_WORD_INDEX,ORIGINAL_SCRIPT_WORD,ORIGINAL_SCRIPT_ORTH_ID,ORIGINAL_SCRIPT_CHARACTER,ORIGINAL_SCRIPT_SCENE,BEST_MATCH_DISTANCE,BEST_LEVENSHTEIN_DISTANCE,BEST_COMBINED_DISTANCE
fanworks/m28c_abby_and_the_mystery_baby_ch2-clean.txt,2385,if,12446819118446800910,3042,something,17370494668576369452,103c_happy_holidays_jessi_ch2.txt,1,0.04175800124531548,13,0.5428540161891012
fanworks/m28c_abby_and_the_mystery_baby_ch2-clean.txt,2386,you,7624161793554793053,3043,you,7624161793554793053,103c_happy_holidays_jessi_ch2.txt,1,0.04175800124531548,13,0.5428540161891012
fanworks/m28c_abby_and_the_mystery_baby_ch2-clean.txt,2387,do,2158845516055552166,3044,do,2158845516055552166,103c_happy_holidays_jessi_ch2.txt,1,0.04175800124531548,13,0.5428540161891012
fanworks/m28c_abby_and_the_mystery_baby_ch2-clean.txt,2388,n't,2043519015752540944,3045,n't,2043519015752540944,103c_happy_holidays_jessi_ch2.txt,1,0.04175800124531548,13,0.5428540161891012
fanworks/m28c_abby_and_the_mystery_baby_ch2-clean.txt,2389,want,7597692042947428029,3046,want,7597692042947428029,103c_happy_holidays_jessi_ch2.txt,1,0.04175800124531548,13,0.5428540161891012
fanworks/m28c_abby_and_the_mystery_baby_ch2-clean.txt,2390,to,3791531372978436496,3047,to,3791531372978436496,103c_happy_holidays_jessi_ch2.txt,1,0.04175800124531548,13,0.5428540161891012
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,683,.,12646065887601541794,1566,.,12646065887601541794,103c_happy_holidays_jessi_ch2.txt,1,0.09969334378578809,17,1.6947868443583975
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,684,That,4759254855483594167,1567,that,4380130941430378203,103c_happy_holidays_jessi_ch2.txt,1,0.09969334378578809,17,1.6947868443583975
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,685,'s,16428057658620181782,1568,'s,16428057658620181782,103c_happy_holidays_jessi_ch2.txt,1,0.09969334378578809,17,1.6947868443583975
fanworks/059c_mallory_hates_boys_and_gym_ch2-clean.txt,686,because,16950148841647037698,1569,why,16315412628806490806,103c_happy_holidays_jessi_ch2.txt,1,0.09969334378578809,17,1.6947868443583975
